id,invoice_description,amount_usd,is_fraud,fraud_type
INV-2026-10109,Fulfillment of PO-47056: 500 units of part #PRD-8438 shipped to Chicago distribution hub.,34681.86,0,none
INV-2026-10110,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -9922.,12015.66,1,fraud
INV-2026-10111,Fulfillment of PO-28643: 50 units of part #PRD-1977 shipped to Chicago distribution hub.,39838.8,0,none
INV-2026-10112,Special management advisory fee regarding Q3 corporate restructuring.,35286.95,1,fraud
INV-2026-10113,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-652. Approved by IT director.,44581.72,0,none
INV-2026-10114,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -1339.,49979.05,1,fraud
INV-2026-10115,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-141. Approved by IT director.,45887.57,0,none
INV-2026-10116,Quarterly consulting retainer for freight shipping support. Direct payment required per invoice terms.,18050.09,1,fraud
INV-2026-10117,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-786. Approved by IT director.,34990.01,0,none
INV-2026-10118,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -2442.,16411.34,1,fraud
INV-2026-10119,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-891. Approved by IT director.,23636.84,0,none
INV-2026-10120,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,38239.54,1,fraud
INV-2026-10121,Fulfillment of PO-27172: 200 units of part #PRD-8178 shipped to Chicago distribution hub.,6949.88,0,none
INV-2026-10122,Special management advisory fee regarding Q3 corporate restructuring.,5567.25,1,fraud
INV-2026-10123,Monthly retainer for executive legal counsel per Master Service Agreement MSA-220 and PO-94896.,25934.73,0,none
INV-2026-10124,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -8483.,28011.99,1,fraud
INV-2026-10125,Executive travel reimbursement and client dining expense report for Q2 strategic review.,14536.12,0,none
INV-2026-10126,Re-submission: Invoice for PO-76550 services rendered. Remit via updated wire transfer protocol.,36576.5,1,fraud
INV-2026-10127,Routine notice: Scheduled update to primary remittance account #9824 for contract CTR-775.,24732.73,0,none
INV-2026-10128,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -6272.,43610.48,1,fraud
INV-2026-10129,Fulfillment of PO-40613: 200 units of part #PRD-1715 shipped to Chicago distribution hub.,37490.55,0,none
INV-2026-10130,Re-submission: Invoice for PO-95461 services rendered. Remit via updated wire transfer protocol.,7186.07,1,fraud
INV-2026-10131,Routine notice: Scheduled update to primary remittance account #9617 for contract CTR-990.,45611.64,0,none
INV-2026-10132,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,39294.74,1,fraud
INV-2026-10133,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-738. Approved by IT director.,42764.73,0,none
INV-2026-10134,Special management advisory fee regarding Q3 corporate restructuring.,2759.06,1,fraud
INV-2026-10135,Monthly retainer for cybersecurity compliance audit per Master Service Agreement MSA-746 and PO-99705.,22264.6,0,none
INV-2026-10136,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,3253.56,1,fraud
INV-2026-10137,Monthly retainer for hardware maintenance per Master Service Agreement MSA-467 and PO-59131.,27027.15,0,none
INV-2026-10138,Special management advisory fee regarding Q3 corporate restructuring.,25385.7,1,fraud
INV-2026-10139,Routine notice: Scheduled update to primary remittance account #8529 for contract CTR-337.,13511.01,0,none
INV-2026-10140,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,22644.76,1,fraud
INV-2026-10141,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-406. Approved by IT director.,42419.89,0,none
INV-2026-10142,Quarterly consulting retainer for executive legal counsel support. Direct payment required per invoice terms.,29024.21,1,fraud
INV-2026-10143,Routine notice: Scheduled update to primary remittance account #5497 for contract CTR-816.,1396.8,0,none
INV-2026-10144,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,11731.22,1,fraud
INV-2026-10145,Fulfillment of PO-98835: 500 units of part #PRD-3240 shipped to Chicago distribution hub.,45266.78,0,none
INV-2026-10146,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,5416.54,1,fraud
INV-2026-10147,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-865. Approved by IT director.,39539.13,0,none
INV-2026-10148,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -8894.,48401.82,1,fraud
INV-2026-10149,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-923. Approved by IT director.,37953.42,0,none
INV-2026-10150,Quarterly consulting retainer for executive legal counsel support. Direct payment required per invoice terms.,1682.01,1,fraud
INV-2026-10151,Routine notice: Scheduled update to primary remittance account #7242 for contract CTR-565.,41298.45,0,none
INV-2026-10152,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -6374.,45847.54,1,fraud
INV-2026-10153,Fulfillment of PO-70852: 500 units of part #PRD-5951 shipped to Chicago distribution hub.,6717.12,0,none
INV-2026-10154,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,44475.71,1,fraud
INV-2026-10155,Fulfillment of PO-58629: 500 units of part #PRD-9850 shipped to Chicago distribution hub.,29779.68,0,none
INV-2026-10156,Quarterly consulting retainer for executive legal counsel support. Direct payment required per invoice terms.,2603.1,1,fraud
INV-2026-10157,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-554. Approved by IT director.,49065.46,0,none
INV-2026-10158,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -5520.,10300.62,1,fraud
INV-2026-10159,Monthly retainer for executive legal counsel per Master Service Agreement MSA-193 and PO-96870.,39552.93,0,none
INV-2026-10160,Quarterly consulting retainer for cybersecurity compliance audit support. Direct payment required per invoice terms.,29732.77,1,fraud
INV-2026-10161,Fulfillment of PO-29340: 500 units of part #PRD-1046 shipped to Chicago distribution hub.,43061.9,0,none
INV-2026-10162,Quarterly consulting retainer for cybersecurity compliance audit support. Direct payment required per invoice terms.,7458.36,1,fraud
INV-2026-10163,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-702. Approved by IT director.,3567.55,0,none
INV-2026-10164,Re-submission: Invoice for PO-18330 services rendered. Remit via updated wire transfer protocol.,26148.66,1,fraud
INV-2026-10165,Monthly retainer for executive legal counsel per Master Service Agreement MSA-615 and PO-39038.,15779.89,0,none
INV-2026-10166,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,35907.66,1,fraud
INV-2026-10167,Executive travel reimbursement and client dining expense report for Q2 strategic review.,7183.39,0,none
INV-2026-10168,Special management advisory fee regarding Q3 corporate restructuring.,23232.06,1,fraud
INV-2026-10169,Routine notice: Scheduled update to primary remittance account #8046 for contract CTR-201.,23126.19,0,none
INV-2026-10170,Quarterly consulting retainer for executive legal counsel support. Direct payment required per invoice terms.,16314.87,1,fraud
INV-2026-10171,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-483. Approved by IT director.,5470.01,0,none
INV-2026-10172,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,28262.17,1,fraud
INV-2026-10173,Routine notice: Scheduled update to primary remittance account #7730 for contract CTR-675.,18326.31,0,none
INV-2026-10174,Re-submission: Invoice for PO-88696 services rendered. Remit via updated wire transfer protocol.,29318.01,1,fraud
INV-2026-10175,Fulfillment of PO-73201: 50 units of part #PRD-2773 shipped to Chicago distribution hub.,42423.3,0,none
INV-2026-10176,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -8030.,42412.6,1,fraud
INV-2026-10177,Routine notice: Scheduled update to primary remittance account #5381 for contract CTR-791.,2418.71,0,none
INV-2026-10178,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -3347.,28749.73,1,fraud
INV-2026-10179,Executive travel reimbursement and client dining expense report for Q2 strategic review.,11541.51,0,none
INV-2026-10180,Re-submission: Invoice for PO-30631 services rendered. Remit via updated wire transfer protocol.,39064.95,1,fraud
INV-2026-10181,Routine notice: Scheduled update to primary remittance account #1815 for contract CTR-186.,34024.47,0,none
INV-2026-10182,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -7785.,14385.18,1,fraud
INV-2026-10183,Routine notice: Scheduled update to primary remittance account #8972 for contract CTR-453.,26819.77,0,none
INV-2026-10184,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -1125.,11016.73,1,fraud
INV-2026-10185,Fulfillment of PO-43491: 200 units of part #PRD-6375 shipped to Chicago distribution hub.,1378.77,0,none
INV-2026-10186,Re-submission: Invoice for PO-59834 services rendered. Remit via updated wire transfer protocol.,28377.45,1,fraud
INV-2026-10187,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-506. Approved by IT director.,46136.96,0,none
INV-2026-10188,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -5743.,6643.5,1,fraud
INV-2026-10189,Monthly retainer for hardware maintenance per Master Service Agreement MSA-275 and PO-91018.,22398.88,0,none
INV-2026-10190,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,20392.57,1,fraud
INV-2026-10191,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-326. Approved by IT director.,32028.01,0,none
INV-2026-10192,Special management advisory fee regarding Q3 corporate restructuring.,6037.42,1,fraud
INV-2026-10193,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-277. Approved by IT director.,47613.31,0,none
INV-2026-10194,Re-submission: Invoice for PO-83889 services rendered. Remit via updated wire transfer protocol.,43348.1,1,fraud
INV-2026-10195,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-550. Approved by IT director.,40020.15,0,none
INV-2026-10196,Special management advisory fee regarding Q3 corporate restructuring.,23143.78,1,fraud
INV-2026-10197,Monthly retainer for hardware maintenance per Master Service Agreement MSA-951 and PO-47627.,19839.64,0,none
INV-2026-10198,Special management advisory fee regarding Q3 corporate restructuring.,30645.29,1,fraud
INV-2026-10199,Routine notice: Scheduled update to primary remittance account #2381 for contract CTR-163.,25722.9,0,none
INV-2026-10200,Quarterly consulting retainer for cloud infrastructure hosting support. Direct payment required per invoice terms.,30880.46,1,fraud
INV-2026-10201,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-389. Approved by IT director.,39672.12,0,none
INV-2026-10202,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -5655.,13347.79,1,fraud
INV-2026-10203,Routine notice: Scheduled update to primary remittance account #6731 for contract CTR-441.,16201.36,0,none
INV-2026-10204,Re-submission: Invoice for PO-21104 services rendered. Remit via updated wire transfer protocol.,40846.05,1,fraud
INV-2026-10205,Routine notice: Scheduled update to primary remittance account #6928 for contract CTR-761.,1893.3,0,none
INV-2026-10206,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -4711.,49998.85,1,fraud
INV-2026-10207,Fulfillment of PO-23256: 500 units of part #PRD-9843 shipped to Chicago distribution hub.,2849.63,0,none
INV-2026-10208,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -3658.,9861.45,1,fraud
INV-2026-10209,Routine notice: Scheduled update to primary remittance account #6968 for contract CTR-838.,34141.78,0,none
INV-2026-10210,Quarterly consulting retainer for executive legal counsel support. Direct payment required per invoice terms.,27166.55,1,fraud
INV-2026-10211,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-955. Approved by IT director.,38702.49,0,none
INV-2026-10212,Re-submission: Invoice for PO-64874 services rendered. Remit via updated wire transfer protocol.,43777.09,1,fraud
INV-2026-10213,Monthly retainer for executive legal counsel per Master Service Agreement MSA-995 and PO-58655.,42707.14,0,none
INV-2026-10214,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -9410.,8220.08,1,fraud
INV-2026-10215,Executive travel reimbursement and client dining expense report for Q2 strategic review.,3609.59,0,none
INV-2026-10216,Special management advisory fee regarding Q3 corporate restructuring.,2381.19,1,fraud
INV-2026-10217,Monthly retainer for hardware maintenance per Master Service Agreement MSA-910 and PO-29142.,45952.41,0,none
INV-2026-10218,Re-submission: Invoice for PO-71487 services rendered. Remit via updated wire transfer protocol.,1931.19,1,fraud
INV-2026-10219,Fulfillment of PO-89807: 500 units of part #PRD-7934 shipped to Chicago distribution hub.,39032.46,0,none
INV-2026-10220,Quarterly consulting retainer for hardware maintenance support. Direct payment required per invoice terms.,4077.55,1,fraud
INV-2026-10221,Executive travel reimbursement and client dining expense report for Q2 strategic review.,36208.67,0,none
INV-2026-10222,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -7825.,10178.38,1,fraud
INV-2026-10223,Monthly retainer for freight shipping per Master Service Agreement MSA-469 and PO-18870.,39534.2,0,none
INV-2026-10224,Special management advisory fee regarding Q3 corporate restructuring.,49070.93,1,fraud
INV-2026-10225,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-465. Approved by IT director.,38803.57,0,none
INV-2026-10226,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -3868.,41688.8,1,fraud
INV-2026-10227,Executive travel reimbursement and client dining expense report for Q2 strategic review.,2812.21,0,none
INV-2026-10228,Quarterly consulting retainer for cloud infrastructure hosting support. Direct payment required per invoice terms.,26253.8,1,fraud
INV-2026-10229,Routine notice: Scheduled update to primary remittance account #5687 for contract CTR-359.,18491.73,0,none
INV-2026-10230,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,37422.08,1,fraud
INV-2026-10231,Executive travel reimbursement and client dining expense report for Q2 strategic review.,46291.21,0,none
INV-2026-10232,Special management advisory fee regarding Q3 corporate restructuring.,22099.75,1,fraud
INV-2026-10233,Fulfillment of PO-52101: 50 units of part #PRD-2311 shipped to Chicago distribution hub.,33385.04,0,none
INV-2026-10234,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -6759.,22909.35,1,fraud
INV-2026-10235,URGENT: Expedited wire transfer requested for emergency hardware replacement under SLA-545. Approved by IT director.,33888.01,0,none
INV-2026-10236,Re-submission: Invoice for PO-99051 services rendered. Remit via updated wire transfer protocol.,42584.8,1,fraud
INV-2026-10237,Executive travel reimbursement and client dining expense report for Q2 strategic review.,19759.87,0,none
INV-2026-10238,Special management advisory fee regarding Q3 corporate restructuring.,19228.66,1,fraud
INV-2026-10239,Monthly retainer for freight shipping per Master Service Agreement MSA-240 and PO-79397.,32828.48,0,none
INV-2026-10240,Quarterly consulting retainer for cloud infrastructure hosting support. Direct payment required per invoice terms.,45763.58,1,fraud
INV-2026-10241,Monthly retainer for hardware maintenance per Master Service Agreement MSA-893 and PO-44116.,49821.89,0,none
INV-2026-10242,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -8406.,9460.16,1,fraud
INV-2026-10243,Executive travel reimbursement and client dining expense report for Q2 strategic review.,27949.86,0,none
INV-2026-10244,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -6922.,25929.03,1,fraud
INV-2026-10245,Monthly retainer for cybersecurity compliance audit per Master Service Agreement MSA-911 and PO-28202.,18683.93,0,none
INV-2026-10246,Special management advisory fee regarding Q3 corporate restructuring.,16155.25,1,fraud
INV-2026-10247,Executive travel reimbursement and client dining expense report for Q2 strategic review.,48646.61,0,none
INV-2026-10248,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,44020.05,1,fraud
INV-2026-10249,Routine notice: Scheduled update to primary remittance account #1907 for contract CTR-286.,41738.15,0,none
INV-2026-10250,Special management advisory fee regarding Q3 corporate restructuring.,17955.13,1,fraud
INV-2026-10251,Routine notice: Scheduled update to primary remittance account #5496 for contract CTR-966.,7133.34,0,none
INV-2026-10252,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -3526.,9388.83,1,fraud
INV-2026-10253,Routine notice: Scheduled update to primary remittance account #2330 for contract CTR-445.,3227.63,0,none
INV-2026-10254,Special management advisory fee regarding Q3 corporate restructuring.,25403.86,1,fraud
INV-2026-10255,Routine notice: Scheduled update to primary remittance account #7653 for contract CTR-757.,15574.26,0,none
INV-2026-10256,URGENT: Confidential wire transfer directive from executive committee. Settlement needed within 24 hours.,10997.13,1,fraud
INV-2026-10257,Routine notice: Scheduled update to primary remittance account #7532 for contract CTR-420.,7407.54,0,none
INV-2026-10258,Administrative processing fee for expedited customs clearance. Remit payment to account ending in -8642.,7003.57,1,fraud
INV-2026-10259,Executive travel reimbursement and client dining expense report for Q2 strategic review.,43344.03,0,none
INV-2026-10260,Re-submission: Invoice for PO-30932 services rendered. Remit via updated wire transfer protocol.,38392.95,1,fraud
